block_id,x,y,z,tonnage_kt,ore_grade_pct,waste_ratio,mining_cost_t,processing_cost_t,revenue_per_t,slope_constraint,period_available,ghg_kg_co2_per_t,stripping_ratio,npv_per_t
B0000,800,750,-100,573.5,0.668,3.21,4.38,12.13,90.12,3,8,26.02,2.32,73.61
B0001,850,550,-50,534.9,0.751,1.65,2.95,11.27,82.96,1,4,31.26,1.04,68.74
B0002,850,250,-40,362.6,0.771,2.58,4.39,12.27,112.22,1,2,28.57,1.35,95.56
B0003,450,300,-90,420.9,0.763,0.7,3.37,14.59,123.39,2,8,25.26,2.42,105.43
B0004,150,550,-80,474.7,0.875,3.21,4.83,10.49,93.26,2,5,29.41,3.18,77.94
B0005,950,900,-90,515.7,1.057,2.16,3.24,16.31,93.54,2,8,34.41,1.58,73.99
B0006,800,200,-50,539.7,0.633,1.9,5.19,18.0,89.09,3,4,15.0,2.23,65.9
B0007,50,150,-100,546.4,0.843,2.5,3.9,13.32,86.69,2,4,29.25,2.69,69.47
B0008,850,650,-40,544.2,0.731,2.37,3.78,14.11,98.24,2,5,22.52,2.99,80.35
B0009,500,450,-10,576.0,0.722,2.08,5.05,11.1,87.64,3,1,21.52,2.7,71.49
B0010,0,300,-90,496.4,0.967,2.12,4.5,12.01,108.85,3,10,18.16,2.58,92.34
B0011,750,200,-60,469.8,1.011,2.42,4.84,12.45,82.31,1,3,29.39,2.17,65.02
B0012,200,100,-100,464.1,0.66,2.52,4.2,13.59,93.55,3,8,30.2,1.33,75.76
B0013,250,950,-10,423.9,0.854,3.45,4.38,11.98,78.51,2,4,33.75,2.87,62.15
B0014,600,50,-10,633.5,0.735,4.13,4.62,14.4,104.75,1,1,25.9,2.63,85.73
B0015,500,100,-40,533.0,0.699,3.01,4.08,14.81,72.13,2,6,36.34,3.06,53.24
B0016,650,200,-60,442.8,0.916,2.6,5.23,11.97,89.57,1,6,28.71,3.87,72.37
B0017,300,700,-60,407.3,0.962,1.3,3.49,10.55,83.21,3,2,23.47,2.45,69.17
B0018,400,0,-30,516.4,1.037,2.15,4.11,14.42,86.81,1,8,28.79,1.68,68.28
B0019,400,750,-30,545.8,1.06,1.37,4.97,12.77,64.37,2,4,19.51,2.65,46.63
B0020,800,950,-30,544.2,0.983,1.45,3.15,12.18,96.54,3,8,29.23,3.25,81.21
B0021,250,700,-80,565.6,0.668,3.01,3.91,10.39,50.05,3,8,26.29,2.26,35.75
B0022,300,100,-30,510.0,1.157,2.22,3.0,12.28,85.32,2,3,36.32,2.3,70.04
B0023,450,400,-60,557.9,0.624,3.02,3.96,11.64,61.4,2,5,22.93,3.39,45.8
B0024,200,150,-100,492.8,0.978,2.89,4.16,8.73,79.62,2,8,15.0,4.07,66.73
B0025,50,600,-70,536.4,0.874,2.32,3.55,13.09,77.64,2,1,24.35,2.27,61.0
B0026,350,450,-60,452.3,1.034,1.7,4.18,13.48,79.51,2,10,26.28,1.82,61.85
B0027,0,650,-30,445.6,1.038,2.26,3.58,11.8,115.27,3,4,16.16,2.4,99.89
B0028,600,700,-10,368.8,0.665,1.01,4.45,12.34,96.5,3,3,21.34,3.18,79.71
B0029,550,600,-90,478.0,0.857,1.83,4.44,15.01,84.92,1,6,30.72,3.54,65.47
B0030,150,50,-50,478.4,0.752,4.45,4.53,12.53,88.96,1,10,27.39,2.95,71.9
B0031,450,850,-70,421.9,0.485,2.42,4.14,12.84,63.19,2,8,37.17,2.05,46.21
B0032,250,500,-80,535.7,0.697,3.47,3.67,12.35,47.6,1,9,25.27,2.04,31.58
B0033,700,400,-20,506.2,0.728,1.71,3.46,14.85,106.5,1,7,39.63,3.07,88.19
B0034,700,400,-60,604.9,1.047,3.18,4.33,14.01,88.75,2,3,25.59,2.24,70.41
B0035,900,700,-90,546.2,0.828,2.1,3.29,14.76,103.49,1,5,23.29,2.2,85.44
B0036,50,600,-80,421.5,1.077,2.52,5.0,13.18,89.3,3,5,22.91,0.89,71.12
B0037,350,850,-20,624.0,0.997,1.68,4.28,13.8,88.82,3,1,19.44,2.44,70.74
B0038,250,0,-30,451.8,0.881,3.1,3.3,10.27,83.57,3,2,33.76,2.7,70.0
B0039,500,800,-50,431.2,0.746,2.68,3.88,12.01,108.96,2,7,22.04,4.13,93.07
B0040,350,550,-30,652.7,0.76,3.26,4.48,13.18,76.85,3,4,36.28,1.61,59.19
B0041,300,900,-100,540.3,0.714,2.77,4.82,14.77,94.65,3,3,31.49,3.04,75.06
B0042,900,0,-90,460.1,1.065,4.06,4.34,14.27,88.43,1,4,30.09,3.26,69.82
B0043,650,150,-50,581.3,0.66,2.68,3.5,11.58,104.44,1,7,29.99,2.68,89.36
B0044,950,900,-60,556.1,0.789,2.68,4.92,11.47,115.86,3,4,29.57,3.88,99.47
B0045,850,300,-100,607.2,0.788,2.93,4.12,11.31,60.73,2,9,23.34,3.11,45.3
B0046,350,500,-70,409.3,1.227,4.53,4.99,9.2,70.16,1,7,30.49,3.01,55.97
B0047,250,750,-30,451.6,1.025,2.12,4.47,12.71,99.43,2,2,24.32,2.06,82.25
B0048,650,650,-20,468.0,0.787,1.59,4.43,11.55,87.08,1,10,29.43,2.75,71.1
B0049,200,900,-100,578.0,0.676,2.32,4.18,11.42,92.5,1,4,28.83,1.74,76.9
B0050,300,200,-90,436.6,0.666,2.14,4.45,14.73,74.88,2,4,27.28,1.75,55.7
B0051,950,550,-80,355.8,1.046,3.65,4.97,11.51,85.24,1,3,27.98,2.83,68.76
B0052,150,600,-40,318.3,0.738,2.72,3.86,10.87,58.22,3,1,27.41,3.13,43.49
B0053,500,500,-60,448.6,0.765,2.05,4.79,14.04,70.87,3,9,29.11,2.58,52.04
B0054,50,0,-90,538.0,0.947,2.2,4.16,15.04,107.15,3,5,31.16,3.23,87.95
B0055,650,100,-80,500.5,0.81,2.7,4.41,12.0,73.22,3,9,18.22,2.01,56.81
B0056,350,850,-30,530.4,0.705,1.54,4.94,11.41,102.93,3,8,26.13,3.6,86.58
B0057,300,0,-70,535.7,0.85,0.5,3.87,11.89,76.45,2,10,23.83,3.41,60.69
B0058,950,200,-10,437.3,0.977,3.07,4.98,13.89,85.34,3,7,34.03,3.33,66.47
B0059,900,0,-20,492.7,0.662,2.0,4.58,11.59,88.56,1,1,31.0,1.86,72.39
B0060,800,50,-50,567.5,0.703,4.5,4.56,12.72,71.84,3,4,22.38,2.81,54.56
B0061,600,0,-30,520.3,1.063,3.35,4.94,10.45,96.09,2,4,40.08,4.28,80.7
B0062,200,350,-10,442.2,0.831,1.47,4.49,18.0,111.59,1,4,21.96,0.94,89.1
B0063,100,600,-50,489.9,0.686,1.93,4.64,11.43,95.95,1,8,24.47,2.42,79.88
B0064,500,0,-90,436.9,0.663,2.62,5.1,12.96,66.88,2,6,27.52,3.0,48.82
B0065,650,300,-10,539.1,1.037,3.62,4.47,13.11,89.56,1,1,19.31,1.94,71.98
B0066,550,100,-30,531.1,0.704,2.15,2.5,13.7,104.63,2,4,29.69,2.11,88.43
B0067,400,900,-40,570.5,1.016,1.29,3.87,10.3,75.74,2,10,27.36,2.15,61.57
B0068,650,50,-70,501.3,0.901,4.03,4.76,12.71,88.28,1,7,28.76,1.82,70.81
B0069,450,50,-50,346.2,0.73,4.05,3.94,12.75,72.35,2,9,21.96,2.95,55.66
