scenario_id,carbon_price_2025,carbon_price_2030,carbon_price_2035,commodity_price_factor
1,44.7,108.3,129.1,0.942
2,64.1,81.1,132.1,0.849
3,24.5,49.0,116.6,0.92
4,40.5,114.3,96.3,0.826
5,27.5,101.2,172.6,0.743
6,69.6,69.1,107.3,1.337
7,48.3,116.1,164.9,0.737
8,71.1,119.2,172.4,1.095
9,45.7,100.0,138.2,0.837
10,27.9,111.9,140.3,0.723
11,45.0,67.0,147.0,0.855
12,75.2,116.9,177.7,1.154
13,62.3,100.0,163.1,1.119
14,52.1,139.0,181.5,1.231
15,51.9,53.0,121.0,1.033
16,46.7,93.6,171.8,0.741
17,42.1,74.1,134.8,0.934
18,54.7,83.9,196.2,1.08
19,27.2,97.9,197.8,0.997
20,51.0,87.3,96.4,0.886
21,46.2,78.3,116.5,0.859
22,46.8,79.0,117.5,1.044
23,36.6,140.3,143.7,1.08
24,54.8,105.1,124.4,1.029
25,72.8,56.2,98.8,1.165
26,41.5,78.0,173.9,0.709
27,55.4,111.1,152.9,0.953
28,55.1,94.3,109.2,0.988
29,72.9,103.0,120.4,1.087
30,29.9,116.3,94.9,1.209
31,53.9,56.0,86.7,1.087
32,64.4,114.3,77.3,1.033
33,62.6,127.1,97.5,0.941
34,40.5,60.4,105.0,1.104
35,37.2,105.0,143.5,1.013
36,51.8,40.4,125.2,0.935
37,63.6,106.1,149.2,1.149
38,20.9,107.3,159.8,0.96
39,33.8,74.0,196.0,1.031
40,56.0,88.4,127.1,0.869
41,52.4,94.8,161.0,1.062
42,68.3,100.0,176.5,1.049
43,89.1,87.9,108.8,0.901
44,74.1,127.1,90.0,1.123
45,48.9,108.6,118.5,1.073
46,37.6,84.2,143.5,0.966
47,29.6,126.5,103.0,0.952
48,56.3,112.2,155.6,1.013
49,22.5,70.0,190.8,1.224
50,47.7,100.8,176.6,0.921
51,54.4,114.3,94.0,0.898
52,77.4,122.4,172.2,1.232
53,53.0,144.8,132.6,1.325
54,37.8,128.5,168.7,0.875
55,59.3,92.9,133.9,1.004
56,52.7,51.2,137.5,0.804
57,64.8,116.7,159.5,0.907
58,73.0,94.3,205.2,0.963
59,45.8,123.2,157.5,1.001
60,59.7,101.4,117.9,0.785
61,81.2,72.4,144.7,0.977
62,75.3,88.1,189.5,1.037
63,38.6,107.5,165.8,0.926
64,30.2,100.6,92.5,1.154
65,64.6,86.7,158.6,1.029
66,43.6,103.8,180.7,1.106
67,71.6,98.2,220.4,0.876
68,28.2,88.0,103.0,0.935
69,39.2,120.3,120.1,0.89
70,46.7,119.9,182.8,1.04
71,35.6,108.9,139.2,1.003
72,34.7,92.0,137.6,0.824
73,40.5,113.3,130.5,0.943
74,63.5,83.6,161.4,1.283
75,45.5,126.3,182.8,0.683
76,57.4,107.5,132.7,0.841
77,85.8,108.4,101.2,1.157
78,69.7,129.0,170.3,1.001
79,57.6,97.7,113.4,1.164
80,28.1,109.5,169.5,1.104
81,44.2,87.2,150.8,1.259
82,62.6,74.2,141.6,0.715
83,45.1,117.8,122.2,1.003
84,37.6,88.3,139.6,1.165
85,77.3,84.3,146.7,1.215
86,31.5,90.0,139.3,0.948
87,47.4,126.9,198.8,1.28
88,42.8,84.9,151.9,0.874
89,34.1,141.3,105.6,0.976
90,76.2,64.4,112.0,1.134
91,34.0,116.5,157.3,1.065
92,37.2,86.3,87.7,1.017
93,67.4,86.5,193.3,1.012
94,53.6,106.1,197.6,1.033
95,35.0,83.1,101.8,1.416
96,49.1,82.0,159.6,1.018
97,36.3,123.2,164.3,1.044
98,48.2,68.4,203.6,1.092
99,46.3,48.7,191.3,0.892
100,31.2,103.7,111.8,0.908
