obs_id,truck_id,route,origin,destination,loaded,payload_t,total_distance_km,max_gradient_pct,surface_factor,shift_hour,congestion_level,failure_active,travel_time_min
1,T08,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,11.39,3,0,22.34
2,T02,S2_CR,S2,CR,1,192.6,8.334,1.39,1.15,10.91,2,0,25.8
3,T05,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,5.4,7,0,26.44
4,T08,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,4.28,2,0,21.4
5,T05,S4_D2,S4,D2,1,204.2,6.638,1.49,1.35,2.39,7,0,34.02
6,T03,S2_CR,S2,CR,1,178.1,8.334,1.39,1.15,7.1,6,0,30.95
7,T03,S4_CR,S4,CR,1,180.5,9.692,1.49,1.15,5.7,4,0,29.44
8,T04,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,10.57,2,0,18.15
9,T03,S4_D2,S4,D2,1,183.4,6.638,1.49,1.35,4.28,3,0,27.45
10,T08,S4_CR,S4,CR,1,196.9,9.692,1.49,1.15,5.82,3,0,26.27
11,T01,S3_D2,S3,D2,1,185.1,6.362,1.39,1.35,3.05,3,0,27.9
12,T10,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,6.03,1,0,21.43
13,T04,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,2.9,3,0,17.84
14,T03,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,7.6,2,0,25.35
15,T02,D2_S3,D2,S3,0,0.0,6.362,1.39,1.35,6.15,3,0,24.13
16,T10,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,1.65,1,0,21.05
17,T06,S3_D2,S3,D2,1,203.3,6.362,1.39,1.35,6.2,6,0,30.74
18,T09,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,10.65,5,0,24.86
19,T04,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,1.93,3,0,22.72
20,T07,CR_S4,CR,S4,0,0.0,9.692,1.49,1.15,7.8,3,0,21.54
21,T03,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,2.93,5,0,18.23
22,T05,CR_S2,CR,S2,0,0.0,8.334,1.39,1.15,0.29,1,0,21.78
23,T03,CR_S3,CR,S3,0,0.0,8.135,1.57,1.15,4.44,0,0,16.36
24,T03,D2_S4,D2,S4,0,0.0,6.638,1.49,1.35,10.24,1,0,21.2
25,T02,CR_S1,CR,S1,0,0.0,8.767,0.8,1.15,6.68,4,0,24.68
